nest_id,year,neighborhood,date_1,status_1,date_2,status_2,date_3,status_3,date_4,status_4,date_5,status_5,date_6,status_6,range1_2,range2_3,range3_4,range4_5,range5_6,tot_exp_days,failed,failed_bins
2018_004,2018,lk,18-Mar-18,0,22-Mar-18,1,25-Mar-18,1,5-Apr-18,1,,,,,,3,11,,,14,,0
2018_005,2018,lk,18-Mar-18,1,22-Mar-18,1,25-Mar-18,1,5-Apr-18,,,,,,4,3,11,,,18,,0
2018_006,2018,lk,18-Mar-18,1,22-Mar-18,1,25-Mar-18,1,5-Apr-18,1,8-Apr-18,0,,,4,3,11,1.5,,19.5,x,1
2018_007,2018,lk,18-Mar-18,1,5-Apr-18,0,8-Apr-18,0,,,,,,,9,,,,,9,,0
2018_023,2018,lk,20-Apr-18,1,30-Apr-18,1,8-May-18,0,,,,,,,10,4,,,,14,x,1
2018_024,2018,lk,20-Apr-18,1,30-Apr-18,1,8-May-18,1,10-May-18,1,,,,,10,8,2,,,20,,0
2018_031,2018,lk,30-Apr-18,0,8-May-18,1,15-May-18,1,20-May-18,1,25-May-18,0,,,,7,5,2.5,,14.5,x,1
2018_040,2018,lk,25-May-18,1,29-May-18,1,1-Jun-18,1,4-Jun-18,1,,,,,4,3,3,,,10,,0
2018_048,2018,lk,5-Jun-18,1,12-Jun-18,1,19-Jun-18,1,24-Jun-18,0,,,,,7,7,2.5,,,16.5,x,1
2018_050,2018,lk,6-Jun-18,1,15-Jun-18,1,21-Jun-18,1,25-Jun-18,1,,,,,9,6,4,,,19,,0
2018_052,2018,lk,8-Jun-18,1,15-Jun-18,1,17-Jun-18,1,,,,,,,7,2,,,,9,,0
2018_056,2018,lk,12-Jun-18,1,,,,,,,,,,,1,,,,,1,,0
2018_058,2018,lk,19-Jun-18,1,26-Jun-18,1,3-Jul-18,1,,,,,,,7,7,,,,14,x,1
2018_064,2018,lk,24-Jun-18,1,26-Jun-18,1,3-Jul-18,1,10-Jul-18,1,16-Jul-18,1,,,2,7,7,6,,22,,0
2018_065,2018,lk,27-Jun-18,1,29-Jun-18,1,,,,,,,,,2,,,,,2,,0
2018_072,2018,lk,11-Jul-18,1,18-Jul-18,1,22-Jul-18,1,,,,,,,7,4,,,,11,,0
