year,nest_id,hood,status,clutch,pred.eggs,survive,product,infertile_count
sixteen,2016_10,mb,chick,3,0,1,3,0
sixteen,2016_100,ls,chick,3,0,1,3,0
sixteen,2016_101,ls,depegg,3,1,0,0,0
sixteen,2016_102,ls,chick,3,0,1,3,0
sixteen,2016_103,ls,chick,3,0,1,3,0
sixteen,2016_105,mb,chick,3,0,1,3,0
sixteen,2016_106,mb,depegg,3,1,0,0,0
sixteen,2016_107,mb,chick,4,0,1,4,0
sixteen,2016_108,mb,partial,3,0,0.67,2,1
sixteen,2016_109,mb,partial,3,0,0.67,2,1
sixteen,2016_11,mb,chick,3,0,1,3,0
sixteen,2016_110,mb,chick,3,0,1,3,0
sixteen,2016_111,mb,chick,4,0,1,4,0
sixteen,2016_112,mb,chick,4,0,1,4,0
sixteen,2016_113,mb,depchick,3,1,0,0,0
sixteen,2016_115,mb,chick,3,0,1,3,0
sixteen,2016_116,ls,depegg,3,1,0,0,0
sixteen,2016_117,ls,nonpred,3,0,0,0,0
sixteen,2016_119,mb,nonpred,3,0,0,0,0
sixteen,2016_120,ls,depegg,4,1,0,0,0
sixteen,2016_123,ls,nonpred,4,0,0,0,0
sixteen,2016_124,ls,depegg,3,1,0,0,0
sixteen,2016_126,mb,depegg,3,1,0,0,0
sixteen,2016_127,mb,partial,3,0,0.67,2,1
sixteen,2016_128,mb,chick,3,0,1,3,0
sixteen,2016_13,mb,depchick,3,0,0,0,0
sixteen,2016_130,mb,depegg,3,1,0,0,0
sixteen,2016_132,ls,depegg,3,1,0,0,0
sixteen,2016_134,ls,chick,3,0,1,3,0
sixteen,2016_135,mb,chick,3,0,1,3,0
sixteen,2016_139,ls,nonpred,4,0,0,0,0
sixteen,2016_14,ls,chick,3,0,1,3,0
sixteen,2016_140,ls,chick,2,0,1,2,0
sixteen,2016_142,mb,chick,3,0,1,3,0
sixteen,2016_143,mb,chick,3,0,1,3,0
sixteen,2016_146,ls,depegg,2,1,0,0,0
sixteen,2016_147,mb,chick,3,0,1,3,0
sixteen,2016_149,ls,chick,3,0,1,3,0
sixteen,2016_15,ls,chick,3,0,1,3,0
sixteen,2016_153,ls,partial,3,0,0.67,2,1
sixteen,2016_154,ls,chick,3,0,1,3,0
sixteen,2016_156,mb,chick,3,0,1,3,0
sixteen,2016_19,mb,depegg,3,1,0,0,0
sixteen,2016_2,mb,depegg,3,1,0,0,0
