year,nest,nest_id,hood,bin.status,status,clutch,pred.eggs,survive,product,lay.month
sixteen,2016_10,16010,mb,1,chick,3,0,1,3,March
sixteen,2016_100,16100,ls,1,chick,3,0,1,3,May
sixteen,2016_101,16101,ls,0,depegg,3,1,0,0,May
sixteen,2016_102,16102,ls,1,chick,3,0,1,3,May
sixteen,2016_103,16103,ls,1,chick,3,0,1,3,May
sixteen,2016_105,16105,mb,1,chick,3,0,1,3,May
sixteen,2016_106,16106,mb,0,depegg,3,1,0,0,May
sixteen,2016_107,16107,mb,1,chick,4,0,1,4,May
sixteen,2016_108,16108,mb,1,partial,3,0,0.67,2,May
sixteen,2016_109,16109,mb,1,partial,3,0,0.67,2,May
sixteen,2016_11,16011,mb,1,chick,3,0,1,3,March
sixteen,2016_110,16110,mb,1,chick,3,0,1,3,May
sixteen,2016_111,16111,mb,1,chick,4,0,1,4,May
sixteen,2016_112,16112,mb,1,chick,4,0,1,4,May
sixteen,2016_113,16113,mb,1,depchick,3,1,0,0,May
sixteen,2016_115,16115,mb,1,chick,3,0,1,3,May
sixteen,2016_116,16116,ls,0,depegg,3,1,0,0,May
sixteen,2016_117,16117,ls,0,nonpred,3,0,0,0,May
sixteen,2016_119,16119,mb,0,nonpred,3,0,0,0,May
sixteen,2016_120,16120,ls,0,depegg,4,1,0,0,May
sixteen,2016_123,16123,ls,0,nonpred,4,0,0,0,May
sixteen,2016_124,16124,ls,0,depegg,3,1,0,0,May
sixteen,2016_126,16126,mb,0,depegg,3,1,0,0,May
sixteen,2016_127,16127,mb,1,partial,3,0,0.67,2,May
sixteen,2016_128,16128,mb,1,chick,3,0,1,3,May
sixteen,2016_13,16013,mb,1,depchick,3,0,0,0,March
sixteen,2016_130,16130,mb,0,depegg,3,1,0,0,May
sixteen,2016_132,16132,ls,0,depegg,3,1,0,0,May
sixteen,2016_134,16134,ls,1,chick,3,0,1,3,May
sixteen,2016_135,16135,mb,1,chick,3,0,1,3,May
sixteen,2016_139,16139,ls,0,nonpred,4,0,0,0,June
sixteen,2016_14,16014,ls,1,chick,3,0,1,3,March
sixteen,2016_140,16140,ls,1,chick,2,0,1,2,June
sixteen,2016_142,16142,mb,1,chick,3,0,1,3,June
sixteen,2016_143,16143,mb,1,chick,3,0,1,3,June
sixteen,2016_146,16146,ls,0,depegg,2,1,0,0,June
sixteen,2016_147,16147,mb,1,chick,3,0,1,3,June
sixteen,2016_149,16149,ls,1,chick,3,0,1,3,June
sixteen,2016_15,16015,ls,1,chick,3,0,1,3,April
sixteen,2016_153,16153,ls,1,partial,3,0,0.67,2,June
sixteen,2016_154,16154,ls,1,chick,3,0,1,3,June
sixteen,2016_156,16156,mb,1,chick,3,0,1,3,June
sixteen,2016_19,16019,mb,0,depegg,3,1,0,0,March
sixteen,2016_2,16002,mb,0,depegg,3,1,0,0,March
sixteen,2016_21,16021,mb,1,chick,3,0,1,3,April
sixteen,2016_22,16022,mb,1,partial,4,0,0.75,3,March
sixteen,2016_23,16023,mb,1,partial,3,0,0.67,2,March
sixteen,2016_24,16024,mb,0,depegg,3,1,0,0,March
sixteen,2016_27,16027,ls,0,depegg,3,1,0,0,March
sixteen,2016_3,16003,up,0,nonpred,3,0,0,0,March
sixteen,2016_31,16031,up,0,nonpred,3,0,0,0,March
sixteen,2016_35,16035,mb,0,depegg,3,1,0,0,April
sixteen,2016_37,16037,ls,0,nonpred,2,0,0,0,April
sixteen,2016_39,16039,up,1,partial,3,0,0.67,2,March
sixteen,2016_45,16045,up,0,depegg,3,1,0,0,April
sixteen,2016_46,16046,ls,1,chick,3,0,1,3,April
sixteen,2016_48,16048,mb,1,chick,3,0,1,3,March
sixteen,2016_49,16049,mb,0,depegg,5,1,0,0,April
sixteen,2016_54,16054,mb,1,partial,4,0,0.75,3,April
sixteen,2016_55,16055,ls,1,chick,3,0,1,3,March
sixteen,2016_56,16956,ls,1,chick,3,0,1,3,April
sixteen,2016_57,16057,ls,0,depegg,3,1,0,0,April
sixteen,2016_58,16058,mb,0,depegg,3,1,0,0,April
sixteen,2016_6,16006,ls,1,chick,3,0,1,3,March
sixteen,2016_60,16060,mb,0,depegg,4,1,0,0,April
sixteen,2016_61,16061,mb,0,depegg,3,1,0,0,April
sixteen,2016_62,16062,mb,1,chick,4,0,1,4,April
sixteen,2016_63,16063,mb,0,nonpred,3,0,0,0,April
sixteen,2016_66,16066,ls,1,depchick,4,0,0,0,April
sixteen,2016_67,16067,ls,1,chick,3,0,1,3,April
sixteen,2016_68,16068,ls,1,partial,3,0,0.67,2,May
sixteen,2016_69,16069,ls,0,depegg,3,1,0,0,May
sixteen,2016_70,16070,ls,0,nonpred,4,0,0,0,April
sixteen,2016_71,16071,ls,0,depegg,3,1,0,0,April
sixteen,2016_72,16072,ls,1,chick,4,0,1,4,April
sixteen,2016_73,16073,ls,1,partial,3,0,0.67,2,April
sixteen,2016_74,16074,ls,0,nonpred,3,0,0,0,April
sixteen,2016_75,16075,mb,1,chick,3,0,1,3,April
sixteen,2016_77,16077,mb,1,chick,4,0,1,4,April
sixteen,2016_80,16080,mb,0,depegg,4,1,0,0,April
sixteen,2016_81,16081,mb,1,chick,3,0,1,3,April
sixteen,2016_82,16082,mb,0,depegg,3,1,0,0,May
sixteen,2016_83,16083,up,1,chick,3,0,1,3,May
sixteen,2016_85,16085,ls,1,chick,3,0,1,3,April
sixteen,2016_86,16086,ls,1,chick,3,0,1,3,April
sixteen,2016_87,16087,ls,1,depchick,3,0,0,0,May
sixteen,2016_88,16088,mb,1,partial,3,0,0.67,2,May
sixteen,2016_89,16089,mb,0,nonpred,2,0,0,0,April
sixteen,2016_91,16091,mb,0,depegg,3,1,0,0,May
sixteen,2016_92,16092,mb,0,depegg,3,1,0,0,April
sixteen,2016_94,16094,mb,1,chick,3,0,1,3,May
sixteen,2016_96,16096,ls,0,depegg,3,1,0,0,May
sixteen,2016_97,16097,mb,1,chick,3,0,1,3,May
sixteen,2016_98,16098,mb,1,partial,3,0,0.67,2,May
sixteen,2016_99,16099,mb,1,chick,3,0,1,3,May
