nomo,age,hood,hood_pb,nest_id,bloodtube,ug_g_drywt,blood_ng_ml_pbwt,blood_ug_dl_pbwt,blood_ugdl_log10,blood_ugdl_sqrt,feather_ng_g_pbwt,feather_ug_g_pbwt,feather_ugg_log10,feather_ugg_sqrt,notes
254,nestling,uptown,high,26,79,0.0657,42.2,4.217194992,0.625023682,2.053581017,4792.626,4.792626,0.680573539,2.189206706,
255,nestling,uptown,high,26,78,0.0034,271.5,27.15193309,1.433800755,5.210751682,4115.654,4.115654,0.614438857,2.02870747,suspect blood
259,nestling,uptown,high,22,85,0.0044,46.7,4.668348185,0.66916324,2.16063606,394.853,0.394853,-0.403564558,0.628373297,
260,nestling,uptown,high,22,86,0.006,65.4,6.540855026,0.815634523,2.557509536,487.6527,0.4876527,-0.311889367,0.698321344,
261,nestling,uptown,high,22,87,0.0042,86.5,8.653957154,0.937214741,2.941760893,1143.249,1.143249,0.05814083,1.069228226,
267,nestling,uptown,high,18,96,0.0046,404.5,40.44921455,1.606910093,6.359969697,,,,,depredated
268,nestling,uptown,high,18,94,0.0076,392.9,39.29282604,1.594313265,6.268399001,,,,,depredated
269,nestling,uptown,high,18,95,0.008,53.2,5.324452197,0.726274932,2.307477453,,,,,depredated
252,nestling,bywater,high,13,75,0.0044,138.4,13.84379396,1.141255127,3.720724924,837.8277,0.8378277,-0.076845285,0.915329285,
253,nestling,bywater,high,13,76,0.01,145.2,14.51951663,1.161952158,3.81044835,1047.809,1.047809,0.020282124,1.02362542,
322,nestling,uptown,high,63,157,0.0054,303.5,30.34760373,1.482124405,5.50886592,2824.569,2.824569,0.450952188,1.680645412,
249,nestling,uptown,high,11,71,0.0043,115.6,11.56075003,1.062986011,3.400110297,,,,,
250,nestling,uptown,high,11,74,0.005,67.5,6.747061319,0.829114657,2.5975106,,,,,
257,nestling,uptown,high,15,80,0.0059,115.8,11.58089628,1.063742172,3.403071595,,,,,
258,nestling,uptown,high,15,81,0.0399,15.1,1.508336029,0.178498105,1.228143326,,,,,
262,nestling,uptown,high,100,88,0.0084,174.2,17.4155228,1.240936516,4.173190961,,,,,
263,nestling,uptown,high,100,89,0.0075,136.8,13.67795623,1.13602121,3.698372105,,,,,
273,nestling,uptown,high,28,115,0.0078,84.9,8.492695505,0.929045553,2.914222968,,,,,depredated
274,nestling,uptown,high,28,129,0.0095,47.6,4.758533422,0.677473124,2.181406295,,,,,depredated
