nest_id_2018,neighborhood,offspring,parent,half_sib_status,binomial_sibship,chick1_id,chick2_id,chick3_id,chick4_id,parent1_id,chick1_pb,chick2_pb,chick3_pb,chick4_pb,avg_chick_pb,ch1_log10,ch2_log10,ch3_log10,ch4_log10,avgch_log10,parent_pb,parent_log10
0,uptown,2,0,half,1,262,263,,,,174.2,136.8,,,155.5,2.241048151,2.136086097,,,2.191730393,,
4,lakeshore,2,0,,,246,246,,,,3,16.1,,,9.55,0.477121255,1.206825876,,,0.980003372,,
11,uptown,3,0,full,0,249,250,251,,,115.6,67.5,,,91.55,2.062957834,1.829303773,,,1.961658349,,
13,bywater,2,1,full,0,252,253,,,229,138.4,145.2,,,141.8,2.14113609,2.161966616,,,2.151676231,73.6,1.866877814
15,uptown,2,0,full,0,257,258,,,,115.8,15.1,,,65.45,2.063708559,1.178976947,,,1.815909651,,
18,uptown,3,1,full,0,267,268,269,,226,404.5,392.9,53.2,,283.5333333,2.606918526,2.594282029,1.725911632,,2.452604124,183.1,2.262688344
22,uptown,3,1,half,1,259,260,261,,,46.7,65.4,86.5,,66.2,1.669316881,1.815577748,1.937016107,,1.820857989,239.3,2.378942699
24,lakeshore,3,0,full,0,264,265,266,,6.3,8.5,11.1,,,9.8,0.929418926,1.045322979,,,0.991226076,,
26,uptown,2,1,full,0,254,255,,,219,42.2,271.5,,,156.85,1.625312451,2.433769834,,,2.195484523,555.2,2.744449457
28,uptown,2,0,half,1,273,274,,,,84.9,47.6,,,66.25,1.92890769,1.677606953,,,1.821185883,,
33,uptown,3,0,half,1,275,276,277,,,70.1,10.2,34.6,,38.3,1.845718018,1.008600172,1.539076099,,1.583198774,,
35,bywater,3,0,full,0,270,271,272,,,256.4,292.9,205,,251.4333333,2.408918021,2.466719372,2.311753861,,2.400422853,,
38,bywater,2,0,full,0,282,283,,,,38.3,22.9,,,30.6,1.583198774,1.359835482,,,1.485721426,,
40,lakeshore,4,0,full,0,278,279,280,281,,16.1,8.4,9.3,7.8,10.4,1.206825876,0.924279286,0.968482949,0.892094603,1.017033339,,
42,uptown,1,0,,,298,,,,,62.1,,,,62.1,1.7930916,,,,1.7930916,,
44,uptown,4,0,full,0,299,300,301,302,,19.7,27.6,33.6,53.5,33.6,1.294466226,1.440909082,1.526339277,1.728353782,1.526339277,,
47,bywater,3,0,full,0,303,304,305,,,35.4,53,24.4,,37.6,1.549003262,1.72427587,1.387389826,,1.575187845,,
49,uptown,2,0,full,0,290,291,,,,46.7,188.9,,,117.8,1.669316881,2.276231958,,,2.07114529,,
50,lakeshore,4,0,half,1,306,307,308,309,,71.8,106.9,20.8,40.9,60.1,1.856124444,2.028977705,1.318063335,1.611723308,1.778874472,,
51,lakeshore,1,0,,,284,,,,,12.5,,,,12.5,1.096910013,,,,1.096910013,,
52,lakeshore,3,0,half,1,295,296,297,,,21.4,13.3,11.4,,15.36666667,1.330413773,1.123851641,1.056904851,,1.186579671,,
53,uptown,1,0,,,310,,,,,204.7,,,,204.7,2.311117843,,,,2.311117843,,
54,uptown,3,0,half,1,287,288,289,,,67.2,168.8,132.3,,122.7666667,1.827369273,2.227372442,2.121559844,,2.089080464,,
55,uptown,3,0,half,1,292,293,294,,,38.6,77.1,226.4,,114.0333333,1.586587305,1.887054378,2.354876423,,2.057031819,,
56,lakeshore,2,0,full,0,285,286,,,,11.7,8.1,,,9.9,1.068185862,0.908485019,,,0.995635195,,
59,bywater,2,0,half,1,315,316,,,,44.8,55.6,,,50.2,1.651278014,1.745074792,,,1.700703717,,
60,bywater,3,0,half,1,317,318,319,,,31.8,57.2,60.5,,49.83333333,1.50242712,1.757396029,1.781755375,,1.697519938,,
62,bywater,1,0,,,323,,,,,65.2,,,,65.2,1.814247596,,,,1.814247596,,
63,uptown,1,1,,,244,,,,322,303.5,,,,303.5,2.482158695,,,,2.482158695,315.9,2.499549626
64,lakeshore,4,0,full,0,328,329,330,331,,32.1,31.7,24.8,17.7,26.575,1.506505032,1.501059262,1.394451681,1.247973266,1.424473273,,
65,lakeshore,4,0,full,0,311,312,313,314,,24.8,19.4,18.5,29.4,23.025,1.394451681,1.28780173,1.267171728,1.46834733,1.362199639,,
66,bywater,4,0,half,1,324,325,326,327,,87.1,161.3,113.5,102.4,116.075,1.940018155,2.207634367,2.054995862,2.010299957,2.064738692,,
69,bywater,2,0,half,1,320,321,,,,25.2,30.4,,,27.8,1.401400541,1.482873584,,,1.444044796,,
70,bywater,3,0,full,0,335,336,337,,,35.1,39.3,32.2,,35.53333333,1.545307116,1.59439255,1.507855872,,1.55063595,,
71,uptown,3,0,half,1,338,339,340,,,654.7,111,104,,289.9,2.816042341,2.045322979,2.017033339,,2.462248215,,
72,lakeshore,3,0,half,1,332,333,334,,,8.9,12.8,7.3,,9.666666667,0.949390007,1.10720997,0.86332286,,0.985276743,,
